time,humid_sht4x,pressure_bmp280,temp_bmp280,temp_sht4x
2025/04/01 23:41:00,56.32,1009.07,38.51,38.45
2025/04/01 23:42:00,53.05,1009.09,39.71,39.93
2025/04/01 23:43:00,51.33,1009.1,40.5,40.76
2025/04/01 23:44:00,49.77,1009.01,41.11,41.43
2025/04/01 23:45:00,48.85,1009.03,41.49,41.86
2025/04/01 23:46:00,48.11,1009.04,41.77,42.17
2025/04/01 23:47:00,48.1,1009.02,41.94,42.3
2025/04/01 23:48:00,47.71,1009.09,42.1,42.41
2025/04/01 23:49:00,47.6,1009.02,42.18,42.46
2025/04/01 23:50:00,47.48,1009.06,42.27,42.44
2025/04/01 23:51:00,47.2,1009,42.34,42.66
2025/04/01 23:52:00,47.18,1009,42.37,42.55
2025/04/01 23:53:00,46.92,1008.98,42.43,42.82
2025/04/01 23:54:00,46.91,1008.97,42.47,42.83
2025/04/01 23:55:00,46.96,1008.91,42.48,42.69
2025/04/01 23:56:00,46.88,1008.9,42.47,42.63
2025/04/01 23:57:00,46.81,1008.88,42.48,42.83
2025/04/01 23:58:00,46.88,1008.91,42.49,42.77
2025/04/01 23:59:00,46.93,1008.86,42.49,42.65
2025/04/02 00:00:00,46.72,1008.9,42.52,42.87
2025/04/02 00:01:00,46.5,1008.92,42.54,42.95
2025/04/02 00:02:00,46.68,1008.9,42.54,42.82
2025/04/02 00:03:00,46.69,1008.88,42.51,42.73
2025/04/02 00:04:00,46.44,1008.89,42.55,42.95
2025/04/02 00:05:00,46.58,1008.89,42.53,42.74
2025/04/02 00:06:00,46.64,1008.85,42.54,42.76
2025/04/02 00:07:00,46.54,1008.86,42.55,42.84
2025/04/02 00:08:00,46.38,1008.83,42.55,42.88
2025/04/02 00:09:00,46.49,1008.87,42.56,42.92
2025/04/02 00:10:00,46.41,1008.85,42.56,42.91
2025/04/02 00:11:00,46.52,1008.84,42.52,42.82
2025/04/02 00:12:00,46.47,1008.83,42.54,42.83
2025/04/02 00:13:00,46.81,1008.82,42.52,42.61
2025/04/02 00:14:00,46.26,1008.78,42.57,42.95
2025/04/02 00:15:00,46.41,1008.79,42.53,42.84
2025/04/02 00:16:00,46.46,1008.75,42.53,42.83
2025/04/02 00:17:00,46.68,1008.75,42.5,42.77
2025/04/02 00:18:00,46.63,1008.76,42.51,42.72
2025/04/02 00:19:00,46.54,1008.7,42.52,42.83
2025/04/02 00:20:00,46.43,1008.7,42.52,42.86
2025/04/02 00:21:00,46.48,1008.7,42.52,42.82
2025/04/02 00:22:00,46.24,1008.66,42.52,42.85
2025/04/02 00:23:00,46.16,1008.68,42.53,42.92
2025/04/02 00:24:00,46.56,1008.65,42.5,42.68
2025/04/02 00:25:00,46.3,1008.66,42.51,42.84
2025/04/02 00:26:00,46.31,1008.61,42.5,42.79
2025/04/02 00:27:00,46.28,1008.55,42.47,42.72
2025/04/02 00:28:00,46.28,1008.56,42.48,42.77
2025/04/02 00:29:00,46.18,1008.56,42.48,42.83
2025/04/02 00:30:00,46.18,1008.54,42.47,42.78
2025/04/02 00:31:00,46.08,1008.53,42.47,42.82
2025/04/02 00:32:00,46.29,1008.5,42.45,42.7
2025/04/02 00:33:00,46.23,1008.5,42.48,42.8
2025/04/02 00:34:00,46.27,1008.47,42.46,42.73
2025/04/02 00:35:00,46.19,1008.46,42.48,42.78
